transaction_id,customer_id,amount,country,channel,timestamp,is_fraud
314b6cbd-70e,C01517,12.08,ZA,web,2025-10-28 12:58:06.518492,0
51c28ac5-ef8,C01035,17.5,MX,web,2025-10-28 05:50:31.518492,0
05e83b5c-d6d,C00452,4.59,RU,pos,2025-10-28 01:34:57.518492,0
5267c856-992,C00319,114.21,DE,mobile,2025-10-26 08:21:35.518492,0
da32a528-073,C01495,90.41,RU,pos,2025-10-25 06:43:50.518492,0
8e6b08ff-d8d,C01699,74.14,MX,mobile,2025-10-25 10:01:27.518492,0
0696068f-748,C01752,67.97,DE,web,2025-10-28 03:55:41.518492,0
162abfb2-e97,C00759,7.06,CN,web,2025-10-26 23:12:18.518492,0
71e95cc1-9d5,C01494,38.46,DE,web,2025-10-28 17:26:47.518492,0
d4bc0824-e4d,C01727,34.54,BR,web,2025-10-27 11:10:00.518492,0
d0847432-3b9,C00433,6.22,MX,pos,2025-10-29 15:31:44.518492,0
436fff35-f72,C01317,7.5,RU,web,2025-10-26 13:40:24.518492,0
0ecb0e43-0f6,C01196,26.16,IN,mobile,2025-10-26 06:25:16.518492,0
04a8d99f-97b,C00314,19.19,GB,pos,2025-10-25 23:47:10.518492,0
e7bdf5d6-b45,C00959,26.28,ZA,mobile,2025-10-27 05:19:36.518492,0
bc8a75e4-3b9,C00547,66.0,CN,web,2025-10-28 00:24:52.518492,0
5e3eefa7-136,C01794,16.36,FR,pos,2025-10-26 10:35:21.518492,0
6438c50d-c3e,C01248,49.7,DE,web,2025-10-29 06:48:50.518492,0
da5c7a58-3a2,C01087,53.39,BR,pos,2025-10-26 22:18:01.518492,0
43a932f4-dba,C01704,19.65,FR,web,2025-10-26 15:03:14.518492,0
3a66a3d6-351,C01499,7.19,RU,web,2025-10-25 00:16:52.518492,0
c8350a37-dc1,C01940,21.42,ZA,web,2025-10-29 06:36:57.518492,0
fec44345-921,C01903,22.66,ZA,pos,2025-10-26 06:26:49.518492,0
b0073b39-c88,C01331,9.54,CN,mobile,2025-10-28 20:18:52.518492,0
7113349d-dac,C00044,17.98,MX,pos,2025-10-27 19:13:21.518492,0
5831e277-bd2,C00121,23.4,DE,web,2025-10-26 01:21:29.518492,0
487f4861-33c,C00271,5.17,MX,pos,2025-10-24 20:25:12.518492,0
5988dbba-fcc,C00194,8.7,US,pos,2025-10-27 12:40:58.518492,0
6aadd87f-22b,C00111,13.14,US,web,2025-10-27 06:37:17.518492,0
bb98f9ae-0b6,C00393,143.07,DE,pos,2025-10-27 02:28:52.518492,0
efb97e4e-e70,C01791,9.43,US,mobile,2025-10-27 09:10:45.518492,0
79d0e6f2-c76,C01108,79.72,BR,web,2025-10-29 13:31:19.518492,0
edaa320d-ce0,C00438,41.16,IN,web,2025-10-29 05:35:28.518492,0
ca94578c-452,C00867,3.11,ZA,pos,2025-10-25 15:49:20.518492,0
1ce925ca-c89,C00120,19.53,MX,pos,2025-10-29 00:28:15.518492,0
1968b5af-67a,C00977,6.7,ZA,pos,2025-10-27 22:48:29.518492,0
b68d2c92-515,C00141,4.29,MX,web,2025-10-25 14:46:23.518492,0
e7004cae-c5f,C01167,56.89,DE,pos,2025-10-28 18:10:48.518492,0
070e1e1f-591,C00535,37.37,DE,pos,2025-10-28 06:25:42.518492,0
9b666b73-4b5,C01322,13.01,FR,mobile,2025-10-29 00:08:53.518492,0
13874761-4a5,C01037,22.65,FR,web,2025-10-26 13:53:30.518492,0
cc41deb2-6e9,C01441,15.4,FR,pos,2025-10-26 18:40:24.518492,0
c1624fc1-6b9,C01923,43.66,GB,mobile,2025-10-29 13:23:15.518492,0
7e17d3c9-336,C00703,8.82,DE,pos,2025-10-25 08:39:20.518492,0
60e7c111-8cb,C01860,68.31,BR,web,2025-10-28 12:12:46.518492,0
e608b886-58a,C01580,16.76,GB,pos,2025-10-28 12:13:10.518492,1
658bc6af-68b,C01149,7.1,BR,web,2025-10-26 05:59:43.518492,0
6274e861-d0f,C00086,12.17,FR,mobile,2025-10-25 02:48:12.518492,0
77acefdd-3ce,C00725,9.33,ZA,mobile,2025-10-29 11:47:20.518492,0
64cc1cb2-d23,C00363,11.71,IN,web,2025-10-28 10:14:08.518492,0
e4930d42-e4f,C01643,36.88,DE,mobile,2025-10-25 17:57:59.518492,0
1911d9e6-23c,C01759,34.91,RU,web,2025-10-25 15:01:48.518492,0
b4e10cdb-f3b,C01629,54.94,DE,web,2025-10-25 20:54:36.518492,0
7a229ab7-254,C00143,31.7,FR,mobile,2025-10-24 19:17:29.518492,0
55edc3fc-e2b,C00679,21.12,BR,web,2025-10-28 13:16:04.518492,0
a09bf205-bdd,C01493,12.79,CN,mobile,2025-10-26 05:53:14.518492,0
134e07f0-2e8,C00894,46.82,BR,pos,2025-10-28 08:07:51.518492,0
3343e17d-349,C01374,25.41,DE,mobile,2025-10-29 13:18:06.518492,0
833ec823-bd8,C01475,13.14,FR,pos,2025-10-27 06:39:27.518492,0
d339af95-8cd,C01136,30.72,GB,web,2025-10-26 12:53:17.518492,0
7222da62-a67,C00357,31.68,MX,pos,2025-10-27 05:04:37.518492,0
2aed7516-8b2,C00431,7.62,IN,pos,2025-10-26 11:40:27.518492,0
0138151a-273,C00438,32.99,ZA,mobile,2025-10-28 08:11:48.518492,0
fa45c8d1-02a,C01677,21.59,DE,pos,2025-10-29 11:26:28.518492,0
49ea9c2a-ce4,C00502,11.14,RU,pos,2025-10-26 13:03:12.518492,0
b395c815-52f,C00399,5.75,IN,mobile,2025-10-29 07:45:52.518492,0
c3dba7b1-4f9,C01538,5.6,US,mobile,2025-10-27 02:02:56.518492,1
634b4ada-6b0,C01738,20.75,US,mobile,2025-10-25 23:42:58.518492,0
020cd0e3-6f7,C01220,95.16,CN,mobile,2025-10-25 11:15:51.518492,0
19bf5dd9-a7c,C00326,5.21,RU,mobile,2025-10-28 09:04:09.518492,0
fb4e5ce1-c26,C01593,298.05,ZA,mobile,2025-10-26 05:35:34.518492,0
a23883c6-dda,C00481,9.04,FR,mobile,2025-10-28 11:07:19.518492,0
4f913c36-0b4,C00439,7.61,US,mobile,2025-10-26 14:24:22.518492,0
b3535846-801,C01706,11.67,IN,mobile,2025-10-27 03:12:22.518492,0
3762d806-111,C01568,32.26,MX,mobile,2025-10-29 07:57:17.518492,0
ad0628d6-996,C01748,5.43,IN,pos,2025-10-27 13:18:37.518492,0
330d6e3c-59f,C01000,150.1,DE,mobile,2025-10-29 04:42:36.518492,0
802d11d4-635,C01635,19.29,IN,pos,2025-10-27 07:19:06.518492,0
61f16ff4-61a,C00172,111.12,IN,web,2025-10-25 15:52:53.518492,0
a5892c93-fd6,C00932,9.6,CN,mobile,2025-10-27 11:05:05.518492,0
2877afa1-c84,C00864,49.52,FR,web,2025-10-29 06:42:26.518492,0
466629fa-26e,C01545,65.2,BR,web,2025-10-27 12:20:19.518492,0
125a5ff4-4f0,C00970,93.4,US,pos,2025-10-25 20:52:45.518492,0
1d2dbcd0-2c9,C01241,18.53,MX,pos,2025-10-25 23:35:19.518492,0
e0fff050-723,C01963,6.16,IN,mobile,2025-10-29 00:27:49.518492,0
4e8aebea-fa6,C00498,5.65,US,pos,2025-10-28 23:58:36.518492,0
6d2fde6d-208,C01631,6.83,MX,web,2025-10-29 08:20:45.518492,0
1f430410-699,C01327,23.71,CN,web,2025-10-26 18:24:37.518492,0
f4bc2e05-95e,C01302,37.27,RU,pos,2025-10-27 05:01:14.518492,0
677f119a-d26,C00554,13.25,MX,pos,2025-10-25 14:07:34.518492,0
a04e8801-fff,C00550,19.1,CN,web,2025-10-29 08:39:38.518492,0
e9435b01-990,C01168,10.07,MX,pos,2025-10-25 04:27:59.518492,0
8e89bebd-bd9,C00999,11.53,DE,mobile,2025-10-26 23:02:22.518492,0
bf3d6e57-bc7,C01803,11.3,FR,pos,2025-10-29 12:02:16.518492,0
01fdb976-aff,C00833,20.81,RU,pos,2025-10-24 17:19:25.518492,0
1b107a4c-ffe,C00918,8.58,BR,web,2025-10-29 06:15:39.518492,0
1cb2459f-689,C01192,4.26,CN,mobile,2025-10-26 10:41:47.518492,0
3b91aa6c-336,C00678,22.03,CN,pos,2025-10-28 00:27:02.518492,0
30dbce99-496,C00395,11.88,CN,web,2025-10-27 09:55:36.518492,0
5268f6fa-56f,C00444,26.02,RU,mobile,2025-10-29 04:02:06.518492,0
69b3fac3-cfb,C00206,38.13,DE,mobile,2025-10-29 01:22:14.518492,0
0a771a0e-a4e,C00260,14.27,FR,web,2025-10-26 00:58:29.518492,0
07cff82b-1be,C01779,27.18,RU,web,2025-10-24 23:47:10.518492,0
056bfcb7-a97,C00378,25.52,BR,mobile,2025-10-24 17:37:53.518492,0
343e7182-161,C00311,19.42,GB,pos,2025-10-27 13:25:10.518492,0
6a518175-c6a,C00853,7.79,MX,pos,2025-10-26 12:05:40.518492,0
fcc91d0a-74d,C01861,49.68,RU,mobile,2025-10-29 11:00:18.518492,0
56ed4cc9-cc1,C01941,34.19,DE,pos,2025-10-28 05:33:19.518492,0
1259bff2-ca1,C01131,12.94,US,web,2025-10-25 22:34:40.518492,0
d3619e6d-dec,C00067,12.12,DE,mobile,2025-10-24 16:14:05.518492,0
13c7b919-e97,C00479,1.41,FR,pos,2025-10-28 22:48:11.518492,0
fd792173-0c0,C01861,15.15,FR,web,2025-10-28 05:44:22.518492,0
7cae1417-153,C00900,50.79,US,mobile,2025-10-25 02:14:42.518492,0
ad7ec4c0-f72,C01106,11.44,RU,mobile,2025-10-28 20:08:28.518492,0
713dc1a6-2c4,C01237,91.92,FR,web,2025-10-25 03:33:37.518492,0
af2aebfd-70a,C01203,4.82,BR,pos,2025-10-25 05:08:44.518492,0
d036fb97-ecc,C01877,46.08,FR,web,2025-10-29 15:28:24.518492,0
33b278bc-b16,C00963,11.11,CN,mobile,2025-10-28 05:05:24.518492,0
4f91b984-01e,C00844,14.26,RU,mobile,2025-10-26 16:23:12.518492,0
60118ac0-918,C00663,23.52,US,mobile,2025-10-28 16:20:27.518492,0
a07ec8ff-d6d,C01062,65.22,CN,pos,2025-10-27 18:47:19.518492,0
789231f2-44f,C00547,19.99,ZA,web,2025-10-29 06:00:37.518492,0
96a78317-da4,C01994,14.13,MX,web,2025-10-26 09:47:33.518492,0
d4fa112d-d0b,C00191,5.45,DE,web,2025-10-28 23:12:53.518492,0
5b8694d4-1fa,C00989,5.98,RU,web,2025-10-27 11:02:54.518492,0
f31dc76b-c83,C01041,23.17,GB,web,2025-10-27 10:22:10.518492,0
d2b69d86-4ae,C00006,5.51,FR,pos,2025-10-26 08:04:36.518492,0
7e825b4d-aff,C01773,79.69,GB,mobile,2025-10-26 11:19:32.518492,0
62908fce-ea2,C00773,19.29,RU,mobile,2025-10-27 22:16:54.518492,0
824b3c8f-d92,C00652,4.98,RU,pos,2025-10-25 19:19:11.518492,0
75ceb745-a01,C01976,84.9,BR,web,2025-10-29 14:00:54.518492,0
71639ac6-53a,C01731,66.36,RU,web,2025-10-27 16:59:48.518492,0
4013608a-b7d,C00815,38.75,US,mobile,2025-10-27 20:26:32.518492,0
f41d4f86-f1d,C01472,54.29,RU,pos,2025-10-28 18:03:20.518492,0
969a117e-27c,C00589,26.14,DE,pos,2025-10-24 21:04:24.518492,0
8cf1e0b6-2a2,C01788,17.71,US,mobile,2025-10-25 05:00:27.518492,0
6320f2a2-9e7,C01088,11.39,IN,pos,2025-10-25 16:04:26.518492,0
f9f985c6-908,C01784,36.77,IN,pos,2025-10-28 19:08:22.518492,0
34b73f83-f71,C00523,6.45,BR,mobile,2025-10-28 19:20:02.518492,0
2723094b-916,C00708,28.84,MX,mobile,2025-10-26 09:44:04.518492,0
568666ac-6e7,C01748,18.06,RU,web,2025-10-28 12:53:50.518492,0
f8a77aeb-d24,C01433,14.62,FR,web,2025-10-26 02:23:27.518492,0
89d9deb2-4cd,C01594,16.77,BR,pos,2025-10-28 15:42:24.518492,0
163b7e2e-99f,C01637,18.94,DE,pos,2025-10-29 04:22:07.518492,0
9fd27846-423,C01389,10.0,GB,pos,2025-10-29 12:38:06.518492,0
dc0c1f10-a7a,C00903,142.14,BR,pos,2025-10-25 05:59:44.518492,0
bda5e2f6-a46,C01531,31.13,IN,web,2025-10-26 20:58:55.518492,0
9d8c1e6a-6a4,C01088,5.1,ZA,mobile,2025-10-25 21:05:17.518492,0
18b1e12e-c79,C01652,1.86,FR,pos,2025-10-25 15:48:31.518492,0
5e219734-808,C01545,53.61,DE,pos,2025-10-26 17:10:27.518492,0
8b2372c0-279,C01142,33.0,CN,web,2025-10-29 01:19:01.518492,0
2bd0e286-5cf,C00755,15.71,FR,pos,2025-10-29 10:59:48.518492,0
3328d180-026,C01811,8.36,ZA,mobile,2025-10-26 23:20:10.518492,0
1cf4662a-f40,C01863,12.06,FR,pos,2025-10-28 08:41:41.518492,0
9027eb18-998,C00796,8.49,RU,mobile,2025-10-27 03:18:27.518492,0
8eaf0268-1a4,C01814,23.74,IN,pos,2025-10-28 17:29:30.518492,0
7cfcc40b-c41,C00573,89.07,BR,pos,2025-10-25 06:15:58.518492,0
8ce4fc91-e6d,C00743,8.39,US,pos,2025-10-26 21:48:27.518492,0
ad122585-c1a,C00816,628.13,FR,web,2025-10-26 21:20:32.518492,0
5598ff8f-811,C01989,8.26,BR,web,2025-10-25 09:38:09.518492,0
a2d0bce1-980,C01136,37.32,DE,pos,2025-10-29 10:25:49.518492,0
2cefd777-eeb,C01616,40.46,MX,web,2025-10-25 23:17:43.518492,0
2c09cdf6-131,C00514,41.22,GB,web,2025-10-26 08:13:34.518492,0
f5ecf2df-9ed,C01615,41.43,DE,pos,2025-10-28 16:07:07.518492,0
57043c9e-712,C00131,6.65,RU,mobile,2025-10-26 14:59:52.518492,0
d8adc531-cb5,C00454,11.22,MX,web,2025-10-29 09:09:07.518492,0
d5fee1b1-b28,C00125,21.5,RU,mobile,2025-10-29 01:45:27.518492,0
343bdefa-fa7,C00151,37.57,US,mobile,2025-10-27 05:55:33.518492,0
7629b2e1-73b,C01199,10.07,ZA,pos,2025-10-28 08:26:06.518492,0
29fce8d6-b8d,C01036,12.09,MX,mobile,2025-10-26 15:12:13.518492,0
4a7b4c70-d39,C01798,35.44,ZA,pos,2025-10-25 06:17:21.518492,0
